version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Aileen Lugo,Aileen_Lugo@wiglaf.onmicrosoft.com,Y0b1uh79,No,Aileen,Lugo,,,,,,,,,,,
Santos Barron,Santos_Barron@wiglaf.onmicrosoft.com,Y0b1uh79,No,Santos,Barron,,,,,,,,,,,
Anya Shelton,Anya_Shelton@wiglaf.onmicrosoft.com,Y0b1uh79,No,Anya,Shelton,,,,,,,,,,,
Leonel Ho,Leonel_Ho@wiglaf.onmicrosoft.com,Y0b1uh79,No,Leonel,Ho,,,,,,,,,,,
Calliope Calhoun,Calliope_Calhoun@wiglaf.onmicrosoft.com,Y0b1uh79,No,Calliope,Calhoun,,,,,,,,,,,
Gary Patton,Gary_Patton@wiglaf.onmicrosoft.com,Y0b1uh79,No,Gary,Patton,,,,,,,,,,,
Lorelei Mayer,Lorelei_Mayer@wiglaf.onmicrosoft.com,Y0b1uh79,No,Lorelei,Mayer,,,,,,,,,,,
Yahir Carlson,Yahir_Carlson@wiglaf.onmicrosoft.com,Y0b1uh79,No,Yahir,Carlson,,,,,,,,,,,
Kali Reeves,Kali_Reeves@wiglaf.onmicrosoft.com,Y0b1uh79,No,Kali,Reeves,,,,,,,,,,,
Clark Mullen,Clark_Mullen@wiglaf.onmicrosoft.com,Y0b1uh79,No,Clark,Mullen,,,,,,,,,,,
Shay Erickson,Shay_Erickson@wiglaf.onmicrosoft.com,Y0b1uh79,No,Shay,Erickson,,,,,,,,,,,
Johnny Newman,Johnny_Newman@wiglaf.onmicrosoft.com,Y0b1uh79,No,Johnny,Newman,,,,,,,,,,,
Oaklynn Blankenship,Oaklynn_Blankenship@wiglaf.onmicrosoft.com,Y0b1uh79,No,Oaklynn,Blankenship,,,,,,,,,,,
Ernesto McBride,Ernesto_McBride@wiglaf.onmicrosoft.com,Y0b1uh79,No,Ernesto,McBride,,,,,,,,,,,
Kelsey Mendoza,Kelsey_Mendoza@wiglaf.onmicrosoft.com,Y0b1uh79,No,Kelsey,Mendoza,,,,,,,,,,,
Dominic Choi,Dominic_Choi@wiglaf.onmicrosoft.com,Y0b1uh79,No,Dominic,Choi,,,,,,,,,,,
Karla Barry,Karla_Barry@wiglaf.onmicrosoft.com,Y0b1uh79,No,Karla,Barry,,,,,,,,,,,
Emery Meyer,Emery_Meyer@wiglaf.onmicrosoft.com,Y0b1uh79,No,Emery,Meyer,,,,,,,,,,,
Sara Robbins,Sara_Robbins@wiglaf.onmicrosoft.com,Y0b1uh79,No,Sara,Robbins,,,,,,,,,,,
Finnegan Randall,Finnegan_Randall@wiglaf.onmicrosoft.com,Y0b1uh79,No,Finnegan,Randall,,,,,,,,,,,
Christina Grant,Christina_Grant@wiglaf.onmicrosoft.com,Y0b1uh79,No,Christina,Grant,,,,,,,,,,,
Leon Trejo,Leon_Trejo@wiglaf.onmicrosoft.com,Y0b1uh79,No,Leon,Trejo,,,,,,,,,,,
Rosalyn Collins,Rosalyn_Collins@wiglaf.onmicrosoft.com,Y0b1uh79,No,Rosalyn,Collins,,,,,,,,,,,
Miles Avalos,Miles_Avalos@wiglaf.onmicrosoft.com,Y0b1uh79,No,Miles,Avalos,,,,,,,,,,,
Paloma Buckley,Paloma_Buckley@wiglaf.onmicrosoft.com,Y0b1uh79,No,Paloma,Buckley,,,,,,,,,,,
